state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S115,50,Pattambi,പട്ടാമ്പി,Palakkad,Centeral Keralam,Q13113050,MUHAMMED MUHASSIN,Communist,T. P. SHAJI,Indian National Congress,1961,7/15,Result in Progress,2026-05-04 11:37:53
S115,6,Payyanur,പയ്യന്നൂർ,Kannur,North Keralam,Q17379122,V. KUNHIKRISHNAN,Independent,T. I. MADHUSOODANAN,Communist Party of India (Marxist),876,8/14,Result in Progress,2026-05-04 11:37:53
S115,92,Peerumade,പീരുമേട്,Idukki,Centeral Keralam,Q16135018,ADV.CYRIAC THOMAS,Indian National Congress,K SALIMKUMAR,Communist Party of India,17178,8/16,Result in Progress,2026-05-04 11:37:53
S115,24,Perambra,പേരാമ്പ്ര,Kozhikode,North Keralam,Q13113475,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),5833,5/17,Result in Progress,2026-05-04 11:37:53
S115,16,Peravoor,പേരാവൂർ,Kannur,North Keralam,Q17385405,ADV. SUNNY JOSEPH,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),4033,4/14,Result in Progress,2026-05-04 11:37:53
S116,38,Perinthalmanna,പെരിന്തൽമണ്ണ,Malappuram,North Keralam,Q13113446,NAJEEB KANTHAPURAM,Indian Union Muslim League,V.P MOHAMMED HANEEFA,Communist Party of India (Marxist),14851,7/21,Result in Progress,2026-05-04 11:37:53
S116,74,Perumbavoor,പെരുമ്പാവൂർ,Ernakulam,Centeral Keralam,Q16136149,MANOJ MOOTHEDAN,Indian National Congress,BASIL PAUL,Kerala Congress (M),13321,6/15,Result in Progress,2026-05-04 11:37:53
S116,85,Piravom,പിറവം,Ernakulam,Centeral Keralam,Q13113295,ANOOP JACOB,Kerala Congress (Jacob),SABU K JACOB,Kerala Congress (M),20039,7/15,Result in Progress,2026-05-04 11:37:53
S116,48,Ponnani,പൊന്നാനി,Malappuram,North Keralam,Q7227905,K.P NOUSHAD ALI,Indian National Congress,ADV.M.K SAKKEER,Communist Party of India (Marxist),2235,3/16,Result in Progress,2026-05-04 11:37:53
S116,101,Poonjar,പൂഞ്ഞാർ,Kottayam,Centeral Keralam,Q16135693,ADV.SEBASTIAN M.J,Indian National Congress,ADV. SEBASTIAN KULATHUNKAL,Kerala Congress (M),506,5/16,Result in Progress,2026-05-04 11:37:53
S116,71,Puthukkad,പുതുക്കാട്,Thrissur,Centeral Keralam,Q7258374,K K RAMACHANDRAN,Communist,K M BABURAJAN,Indian National Congress,1077,6/17,Result in Progress,2026-05-04 11:37:53
S116,121,Punalur,പുനലൂർ,Kollam,South Keralam,Q13113349,C. AJAYAPRASAD,Communist,NOUSHAD YOUNUS,Indian Union Muslim League,9690,8/16,Result in Progress,2026-05-04 11:37:53
S116,98,Puthuppally,പുതുപ്പള്ളി,Kottayam,Centeral Keralam,Q13113317,ADV. CHANDY OOMMEN,Indian National Congress,K. M. RADHAKRISHNAN,Communist Party of India (Marxist),32324,9/15,Result in Progress,2026-05-04 11:37:53
S116,23,Koyilandy,കൊയിലാണ്ടി,Kozhikode,North Keralam,Q13111637,ADV. K. PRAVEEN KUMAR,Indian National Congress,K. DASAN,Communist Party of India (Marxist),5335,5/17,Result in Progress,2026-05-04 11:37:53
S116,112,Ranni,റാന്നി,Pathanamthitta,South Keralam,Q13114408,ADV. PAZHAKULAM MADHU,Indian National Congress,ADV. PRAMOD NARAYAN,Kerala Congress (M),1223,4/17,Result in Progress,2026-05-04 11:37:53
S116,51,Shornur,ഷൊർണ്ണൂർ,Palakkad,Centeral Keralam,Q13114979,P.MAMMIKUTTY,Communist,P.HARIGOVINDAN,Indian National Congress,5882,8/12,Result in Progress,2026-05-04 11:37:53
S116,18,Sulthan Bathery,സുൽത്താൻ ബത്തേരി,Wayanad,North Keralam,Q13115144,I C BALAKRISHNAN,Indian National Congress,M S VISWANATHAN,Communist Party of India (Marxist),7432,8/18,Result in Progress,2026-05-04 11:37:53
S116,8,Taliparamba,തളിപ്പറമ്പ്,Kannur,North Keralam,Q17379268,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,Independent,P K SHYAMALA TEACHER,Communist Party of India (Marxist),3805,3/17,Result in Progress,2026-05-04 11:37:53
S116,44,Tanur,താനൂർ,Malappuram,North Keralam,Q16136996,P K NAVAS,Indian Union Muslim League,MOHAMED SAMEER T THIRUTHIYIL HOUSE,Independent,11326,6/16,Result in Progress,2026-05-04 11:37:53
S116,57,Tarur,തരൂർ,Palakkad,Centeral Keralam,Q16136772,SUMOD,Communist,SUBRAMANIAN K C,Indian National Congress,7399,8/13,Result in Progress,2026-05-04 11:37:53
S116,13,Thalassery,തലശ്ശേരി,Kannur,North Keralam,Q7709532,KARAYI RAJAN,Communist,SAJU K P,Indian National Congress,10649,7/14,Result in Progress,2026-05-04 11:37:53
S116,47,Thavanur,തവനൂർ,Malappuram,North Keralam,Q16136920,ADV. V S JOY,Indian National Congress,DR. K T JALEEL,Independent,9524,7/17,Result in Progress,2026-05-04 11:37:53
